Date,Machine_ID,Load_cells,Hydraulic_Pressure(bar),Coolant_Pressure(bar),Air_System_Pressure(bar),Coolant_Temperature(°C),Hydraulic_Oil_Temperature(°C),Proximity_sensors,Spindle_Vibration(µm),Tool_Vibration(µm),Spindle_Speed(RPM),Voltage(volts),Torque,Cutting_Force(kN),Downtime
1/1/2022,PRIMA-13-L1-Unit1,7.187623024,5,4.805256589,6.196356049,18.03282148,43.09839055,13.32916622,0.745072515,33.68143041,50.52267468,241.7080715,103.0327368,12.04717873,NON_FAILURE
1/1/2022,PRIMA-13-L1-Unit1,1.721360828,1.877698704,3.005821418,13.39127671,1.671841689,38.10468265,3.812806697,0.006891275,0.645138257,31.66627751,239.1702514,214.2303171,14.22116474,FAILURE
1/1/2022,PRIMA-13-L1-Unit1,5.32074279,29.2183488,3.339259459,6.606270409,26.3313759,40.46066556,15.21840346,0.12787539,34.88377774,40,160,135.5337233,13.65638148,NON_FAILURE
1/1/2022,PRIMA-13-L1-Unit1,6.67623871,5,4.973549273,5.790372156,16.68893855,47.37089669,7.843770769,2,29.53587128,40,300,157.6426927,10.391404,NON_FAILURE
1/1/2022,PRIMA-13-L1-Unit1,4.856217556,22.58926293,5.41468553,7.191234748,16.04687092,50.48884134,24.93407431,0.708889318,20.39211062,51.27339654,160,17,15.44524091,NON_FAILURE
1/1/2022,PRIMA-13-L1-Unit1,6.961507417,32.82090214,5.072295084,7.72554662,18.775698,39.49818816,14.68907866,1.81556764,7.433568033,40,267.0975844,111.5836599,14.76602101,NON_FAILURE
1/1/2022,PRIMA-13-L1-Unit1,5.231764073,13.3761688,6.609458532,4.761982783,28.37527372,57.71061628,15.30784234,0.148696652,38.936574,40,160,249.2332226,9.137502586,NON_FAILURE
1/1/2022,PRIMA-13-L1-Unit1,6.661992059,20.59881885,5.464511146,5.939957384,23.87568611,43.07427673,26.64669864,2,13.14780576,40,160,40.64402692,7.913396267,NON_FAILURE
2/1/2022,PRIMA-13-L1-Unit1,5.542452595,7.229752845,4.144334472,7.62169391,27.09684694,44.54938829,22.04187265,2,24.65359164,40,160,158.0723624,12.87323126,NON_FAILURE
2/1/2022,PRIMA-13-L1-Unit1,6.640728815,5,5.724379898,7.237482237,20.68592552,47.50767867,14.76737138,0.397183962,20.09929912,48.59334851,251.3920985,91.65699682,11.36125926,NON_FAILURE
